线路,方向,起点,终点,客流量
18路,上行,上礼泉,大明市学校,2.0
18路,上行,上礼泉,马大王村委,4.9
18路,上行,上礼泉,新昌大桥,3.2
18路,上行,上礼泉,三联路口,1.6
18路,上行,上礼泉,三联新村,0.9
18路,上行,上礼泉,金底山路口,1.3
18路,上行,上礼泉,人民医院（磕下东）,6.2
18路,上行,上礼泉,七星小学,0.8
18路,上行,上礼泉,七星大桥（南）,3.3
18路,上行,上礼泉,上礼泉农贸市场,2.3
18路,上行,大明山水,马大王美女山,1.4
18路,上行,大明山水,马大王（北）,1.7
18路,上行,大明山水,大明市学校,1.7
18路,上行,大明山水,马大王村委,4.3
18路,上行,大明山水,新昌大桥,2.8
18路,上行,大明山水,三联路口,1.4
18路,上行,大明山水,三联新村,0.8
18路,上行,大明山水,金底山路口,1.1
18路,上行,大明山水,人民医院（磕下东）,5.4
18路,上行,大明山水,七星小学,0.7
18路,上行,大明山水,七星大桥（南）,2.9
18路,上行,大明山水,上礼泉农贸市场,2.0
18路,上行,新昌北站,马大王村委,0.8
18路,上行,新昌北站,人民医院（磕下东）,0.9
18路,上行,新昌北站,七星大桥（南）,0.5
18路,上行,马大王美女山,马大王（北）,1.5
18路,上行,马大王美女山,大明市学校,1.5
18路,上行,马大王美女山,马大王村委,3.7
18路,上行,马大王美女山,新昌大桥,2.3
18路,上行,马大王美女山,三联路口,1.2
18路,上行,马大王美女山,三联新村,0.7
18路,上行,马大王美女山,金底山路口,0.9
18路,上行,马大王美女山,人民医院（磕下东）,4.6
18路,上行,马大王美女山,七星小学,0.6
18路,上行,马大王美女山,七星大桥（南）,2.5
18路,上行,马大王美女山,上礼泉农贸市场,1.7
18路,上行,马大王（北）,大明市学校,1.9
18路,上行,马大王（北）,马大王村委,4.7
18路,上行,马大王（北）,新昌大桥,3.1
18路,上行,马大王（北）,三联路口,1.6
18路,上行,马大王（北）,三联新村,0.9
18路,上行,马大王（北）,金底山路口,1.2
18路,上行,马大王（北）,人民医院（磕下东）,6.0
18路,上行,马大王（北）,七星小学,0.8
18路,上行,马大王（北）,七星大桥（南）,3.2
18路,上行,马大王（北）,上礼泉农贸市场,2.2
18路,上行,五马公园,马大王村委,1.2
18路,上行,五马公园,新昌大桥,0.8
18路,上行,五马公园,人民医院（磕下东）,1.5
18路,上行,五马公园,七星大桥（南）,0.8
18路,上行,五马公园,上礼泉农贸市场,0.6
18路,上行,大明市学校,马大王村委,5.2
18路,上行,大明市学校,岩下,0.5
18路,上行,大明市学校,新昌大桥,3.3
18路,上行,大明市学校,三联路口,1.7
18路,上行,大明市学校,三联新村,1.0
18路,上行,大明市学校,金底山路口,1.3
18路,上行,大明市学校,人民医院（磕下东）,6.5
18路,上行,大明市学校,七星小学,0.9
18路,上行,大明市学校,七星大桥（南）,3.5
18路,上行,大明市学校,上礼泉农贸市场,2.4
18路,上行,大明市老村,马大王村委,1.1
18路,上行,大明市老村,新昌大桥,0.7
18路,上行,大明市老村,人民医院（磕下东）,1.4
18路,上行,大明市老村,七星大桥（南）,0.8
18路,上行,大明市老村,上礼泉农贸市场,0.5
18路,上行,马大王村委,岩下,1.6
18路,上行,马大王村委,新昌大桥,10.5
18路,上行,马大王村委,三联路口,5.3
18路,上行,马大王村委,三联新村,3.0
18路,上行,马大王村委,金底山路口,4.2
18路,上行,马大王村委,陈家,1.4
18路,上行,马大王村委,人民医院（磕下东）,20.5
18路,上行,马大王村委,七星小学,2.8
18路,上行,马大王村委,七星大桥（南）,10.9
18路,上行,马大王村委,西郊中学,0.9
18路,上行,马大王村委,上礼泉农贸市场,7.7
18路,上行,岩下,新昌大桥,1.1
18路,上行,岩下,三联路口,0.5
18路,上行,岩下,人民医院（磕下东）,2.1
18路,上行,岩下,七星大桥（南）,1.1
18路,上行,岩下,上礼泉农贸市场,0.8
18路,上行,新昌大桥,三联路口,4.2
18路,上行,新昌大桥,三联新村,2.3
18路,上行,新昌大桥,金底山路口,3.3
18路,上行,新昌大桥,陈家,1.1
18路,上行,新昌大桥,人民医院（磕下东）,15.9
18路,上行,新昌大桥,七星小学,2.2
18路,上行,新昌大桥,七星大桥（南）,8.5
18路,上行,新昌大桥,西郊中学,0.7
18路,上行,新昌大桥,上礼泉农贸市场,6.0
18路,上行,三联路口,三联新村,1.3
18路,上行,三联路口,金底山路口,1.8
18路,上行,三联路口,陈家,0.6
18路,上行,三联路口,人民医院（磕下东）,9.0
18路,上行,三联路口,七星小学,1.2
18路,上行,三联路口,七星大桥（南）,4.8
18路,上行,三联路口,上礼泉农贸市场,3.4
18路,上行,三联新村,金底山路口,1.1
18路,上行,三联新村,人民医院（磕下东）,5.4
18路,上行,三联新村,七星小学,0.7
18路,上行,三联新村,七星大桥（南）,2.9
18路,上行,三联新村,上礼泉农贸市场,2.0
18路,上行,金底山路口,陈家,0.6
18路,上行,金底山路口,人民医院（磕下东）,8.2
18路,上行,金底山路口,七星小学,1.1
18路,上行,金底山路口,七星大桥（南）,4.4
18路,上行,金底山路口,上礼泉农贸市场,3.1
18路,上行,陈家,人民医院（磕下东）,2.8
18路,上行,陈家,七星大桥（南）,1.5
18路,上行,陈家,上礼泉农贸市场,1.1
18路,上行,人民医院（磕下东）,七星小学,10.7
18路,上行,人民医院（磕下东）,七星大桥（南）,41.8
18路,上行,人民医院（磕下东）,下礼泉,0.9
18路,上行,人民医院（磕下东）,三花源,0.9
18路,上行,人民医院（磕下东）,蓝海御湾,0.9
18路,上行,人民医院（磕下东）,西郊中学,3.6
18路,上行,人民医院（磕下东）,上礼泉农贸市场,29.3
18路,上行,七星小学,七星大桥（南）,6.5
18路,上行,七星小学,西郊中学,0.6
18路,上行,七星小学,上礼泉农贸市场,4.6
18路,上行,七星大桥（南）,下礼泉,1.2
18路,上行,七星大桥（南）,三花源,1.2
18路,上行,七星大桥（南）,蓝海御湾,1.2
18路,上行,七星大桥（南）,西郊中学,4.7
18路,上行,七星大桥（南）,上礼泉农贸市场,38.8
18路,上行,西郊中学,上礼泉农贸市场,4.0
18路,下行,马大王村委,新昌大桥,0.6
18路,下行,马大王村委,人民医院（磕下东）,0.9
18路,下行,马大王村委,大明泽府,1.6
18路,下行,马大王村委,上礼泉,1.0
18路,下行,马大王村委,孟家塘,0.6
18路,下行,马大王美女山,新昌大桥,2.3
18路,下行,马大王美女山,人民医院（磕下东）,3.6
18路,下行,马大王美女山,大明山水（西）,1.6
18路,下行,马大王美女山,上礼泉农贸市场,0.5
18路,下行,马大王美女山,七星大桥（南）,1.3
18路,下行,马大王美女山,范家,0.7
18路,下行,马大王美女山,大明山水,0.8
18路,下行,马大王美女山,大明泽府,6.3
18路,下行,马大王美女山,枫家潭路口,1.0
18路,下行,马大王美女山,大明市学校,0.6
18路,下行,马大王美女山,上礼泉,4.0
18路,下行,马大王美女山,粮库,1.9
18路,下行,马大王美女山,花树湾,1.6
18路,下行,马大王美女山,孟家塘,2.5
18路,下行,马大王美女山,三联路口,1.2
18路,下行,新昌大桥,和悦广场,0.5
18路,下行,新昌大桥,人民医院（磕下东）,4.7
18路,下行,新昌大桥,大明山水（西）,2.0
18路,下行,新昌大桥,上礼泉农贸市场,0.7
18路,下行,新昌大桥,七星大桥（南）,1.7
18路,下行,新昌大桥,范家,1.0
18路,下行,新昌大桥,大明山水,1.1
18路,下行,新昌大桥,大明泽府,8.2
18路,下行,新昌大桥,枫家潭路口,1.3
18路,下行,新昌大桥,大明市学校,0.8
18路,下行,新昌大桥,上礼泉,5.3
18路,下行,新昌大桥,西郊中学,0.5
18路,下行,新昌大桥,粮库,2.5
18路,下行,新昌大桥,花树湾,2.0
18路,下行,新昌大桥,大联口,0.6
18路,下行,新昌大桥,孟家塘,3.2
18路,下行,新昌大桥,三联路口,1.6
18路,下行,五马公园,大明泽府,0.8
18路,下行,五马公园,上礼泉,0.5
18路,下行,白杨路口,大明泽府,0.8
18路,下行,白杨路口,上礼泉,0.5
18路,下行,和悦广场,人民医院（磕下东）,0.9
18路,下行,和悦广场,大明泽府,1.5
18路,下行,和悦广场,上礼泉,1.0
18路,下行,和悦广场,孟家塘,0.6
18路,下行,人民医院（磕下东）,磕山公交站,0.6
18路,下行,人民医院（磕下东）,大明山水（西）,3.8
18路,下行,人民医院（磕下东）,上礼泉农贸市场,1.3
18路,下行,人民医院（磕下东）,七星大桥（南）,3.1
18路,下行,人民医院（磕下东）,范家,1.8
18路,下行,人民医院（磕下东）,大明山水,2.0
18路,下行,人民医院（磕下东）,大明泽府,15.2
18路,下行,人民医院（磕下东）,枫家潭路口,2.4
18路,下行,人民医院（磕下东）,大明市学校,1.5
18路,下行,人民医院（磕下东）,上礼泉,9.8
18路,下行,人民医院（磕下东）,西郊中学,1.0
18路,下行,人民医院（磕下东）,粮库,4.6
18路,下行,人民医院（磕下东）,花树湾,3.8
18路,下行,人民医院（磕下东）,大联口,1.1
18路,下行,人民医院（磕下东）,孟家塘,6.0
18路,下行,人民医院（磕下东）,三联路口,2.9
18路,下行,磕山公交站,大明泽府,1.0
18路,下行,磕山公交站,上礼泉,0.6
18路,下行,大明山水（西）,上礼泉农贸市场,0.6
18路,下行,大明山水（西）,七星大桥（南）,1.4
18路,下行,大明山水（西）,范家,0.8
18路,下行,大明山水（西）,大明山水,0.9
18路,下行,大明山水（西）,大明泽府,7.1
18路,下行,大明山水（西）,枫家潭路口,1.1
18路,下行,大明山水（西）,大明市学校,0.7
18路,下行,大明山水（西）,上礼泉,4.6
18路,下行,大明山水（西）,粮库,2.2
18路,下行,大明山水（西）,花树湾,1.8
18路,下行,大明山水（西）,大联口,0.5
18路,下行,大明山水（西）,孟家塘,2.8
18路,下行,大明山水（西）,三联路口,1.4
18路,下行,上礼泉农贸市场,大明泽府,2.4
18路,下行,上礼泉农贸市场,上礼泉,1.6
18路,下行,上礼泉农贸市场,粮库,0.7
18路,下行,上礼泉农贸市场,花树湾,0.6
18路,下行,上礼泉农贸市场,孟家塘,1.0
18路,下行,七星大桥（南）,范家,0.8
18路,下行,七星大桥（南）,大明山水,0.8
18路,下行,七星大桥（南）,大明泽府,6.3
18路,下行,七星大桥（南）,枫家潭路口,1.0
18路,下行,七星大桥（南）,大明市学校,0.6
18路,下行,七星大桥（南）,上礼泉,4.0
18路,下行,七星大桥（南）,粮库,1.9
18路,下行,七星大桥（南）,花树湾,1.6
18路,下行,七星大桥（南）,孟家塘,2.5
18路,下行,七星大桥（南）,三联路口,1.2
18路,下行,范家,大明泽府,3.9
18路,下行,范家,枫家潭路口,0.6
18路,下行,范家,上礼泉,2.5
18路,下行,范家,粮库,1.2
18路,下行,范家,花树湾,1.0
18路,下行,范家,孟家塘,1.5
18路,下行,范家,三联路口,0.7
18路,下行,大明山水,大明泽府,4.3
18路,下行,大明山水,枫家潭路口,0.7
18路,下行,大明山水,上礼泉,2.8
18路,下行,大明山水,粮库,1.3
18路,下行,大明山水,花树湾,1.1
18路,下行,大明山水,孟家塘,1.7
18路,下行,大明山水,三联路口,0.8
18路,下行,大明泽府,枫家潭路口,7.6
18路,下行,大明泽府,大明市学校,4.9
18路,下行,大明泽府,上礼泉,31.3
18路,下行,大明泽府,西郊中学,3.1
18路,下行,大明泽府,粮库,14.7
18路,下行,大明泽府,花树湾,12.1
18路,下行,大明泽府,大联口,3.6
18路,下行,大明泽府,孟家塘,19.2
18路,下行,大明泽府,西岙畈,0.9
18路,下行,大明泽府,三联新村,0.9
18路,下行,大明泽府,三联路口,9.4
18路,下行,枫家潭路口,大明市学校,0.8
18路,下行,枫家潭路口,上礼泉,5.2
18路,下行,枫家潭路口,西郊中学,0.5
18路,下行,枫家潭路口,粮库,2.5
18路,下行,枫家潭路口,花树湾,2.0
18路,下行,枫家潭路口,大联口,0.6
18路,下行,枫家潭路口,孟家塘,3.2
18路,下行,枫家潭路口,三联路口,1.6
18路,下行,大明市学校,上礼泉,3.6
18路,下行,大明市学校,粮库,1.7
18路,下行,大明市学校,花树湾,1.4
18路,下行,大明市学校,孟家塘,2.2
18路,下行,大明市学校,三联路口,1.1
18路,下行,上礼泉,西郊中学,3.4
18路,下行,上礼泉,粮库,15.9
18路,下行,上礼泉,花树湾,13.0
18路,下行,上礼泉,大联口,3.9
18路,下行,上礼泉,孟家塘,20.8
18路,下行,上礼泉,西岙畈,1.0
18路,下行,上礼泉,三联新村,1.0
18路,下行,上礼泉,三联路口,10.1
18路,下行,西郊中学,粮库,1.7
18路,下行,西郊中学,花树湾,1.4
18路,下行,西郊中学,孟家塘,2.2
18路,下行,西郊中学,三联路口,1.1
18路,下行,粮库,花树湾,8.6
18路,下行,粮库,大联口,2.5
18路,下行,粮库,孟家塘,13.6
18路,下行,粮库,西岙畈,0.6
18路,下行,粮库,三联新村,0.6
18路,下行,粮库,三联路口,6.7
18路,下行,花树湾,大联口,2.8
18路,下行,花树湾,孟家塘,15.1
18路,下行,花树湾,西岙畈,0.7
18路,下行,花树湾,三联新村,0.7
18路,下行,花树湾,三联路口,7.4
18路,下行,大联口,孟家塘,5.0
18路,下行,大联口,三联路口,2.4
18路,下行,孟家塘,大园湾,1.7
18路,下行,孟家塘,西岙畈,3.3
18路,下行,孟家塘,三联新村,3.3
18路,下行,孟家塘,三联路口,34.7
18路,下行,西岙畈,三联路口,1.8
18路,下行,三联新村,三联路口,2.0
19路,上行,梅渚村口,客运西站（五四桥）,0.5
19路,上行,梅渚村口,客运西站（五四桥）,0.5
19路,上行,客运西站（五四桥）,茶市北门（七星医院）,0.7
19路,上行,客运西站（五四桥）,翡翠山,0.8
19路,上行,客运西站（五四桥）,东旺实业,0.5
19路,上行,客运西站（五四桥）,凤凰村口,0.7
19路,上行,客运西站（五四桥）,梅渚小学,0.7
19路,上行,客运西站（五四桥）,梅渚村口,0.6
19路,上行,客运西站（五四桥）,沃西中学,0.5
19路,上行,客运西站（五四桥）,翡翠山,0.8
19路,上行,客运西站（五四桥）,南瑞学校,0.5
19路,上行,客运西站（五四桥）,客运西站（五四桥）,0.9
19路,上行,客运西站（五四桥）,茶市北门（七星医院）,0.7
19路,上行,客运西站（五四桥）,东旺实业,0.5
19路,上行,客运西站（五四桥）,凤凰村口,0.7
19路,上行,客运西站（五四桥）,梅渚小学,0.7
19路,上行,茶市北门（七星医院）,翡翠山,0.6
19路,上行,茶市北门（七星医院）,凤凰村口,0.5
19路,上行,茶市北门（七星医院）,梅渚小学,0.5
19路,上行,茶市北门（七星医院）,翡翠山,0.6
19路,上行,茶市北门（七星医院）,客运西站（五四桥）,0.7
19路,上行,茶市北门（七星医院）,茶市北门（七星医院）,0.5
19路,上行,茶市北门（七星医院）,凤凰村口,0.5
19路,上行,茶市北门（七星医院）,梅渚小学,0.5
19路,上行,翡翠山,东旺实业,0.5
19路,上行,翡翠山,凤凰村口,0.7
19路,上行,翡翠山,梅渚小学,0.7
19路,上行,翡翠山,梅渚村口,0.6
19路,上行,翡翠山,沃西中学,0.5
19路,上行,翡翠山,翡翠山,0.8
19路,上行,翡翠山,南瑞学校,0.5
19路,上行,翡翠山,客运西站（五四桥）,0.9
19路,上行,翡翠山,茶市北门（七星医院）,0.7
19路,上行,翡翠山,东旺实业,0.5
19路,上行,翡翠山,凤凰村口,0.7
19路,上行,翡翠山,梅渚小学,0.7
19路,上行,东旺实业,凤凰村口,0.5
19路,上行,东旺实业,梅渚小学,0.5
19路,上行,东旺实业,翡翠山,0.6
19路,上行,东旺实业,客运西站（五四桥）,0.7
19路,上行,东旺实业,茶市北门（七星医院）,0.5
19路,上行,东旺实业,凤凰村口,0.5
19路,上行,东旺实业,梅渚小学,0.5
19路,上行,凤凰村口,梅渚小学,0.7
19路,上行,凤凰村口,梅渚村口,0.6
19路,上行,凤凰村口,沃西中学,0.5
19路,上行,凤凰村口,翡翠山,0.8
19路,上行,凤凰村口,南瑞学校,0.5
19路,上行,凤凰村口,客运西站（五四桥）,0.9
19路,上行,凤凰村口,茶市北门（七星医院）,0.7
19路,上行,凤凰村口,东旺实业,0.5
19路,上行,凤凰村口,凤凰村口,0.7
19路,上行,凤凰村口,梅渚小学,0.7
19路,上行,梅渚小学,梅渚村口,0.6
19路,上行,梅渚小学,沃西中学,0.6
19路,上行,梅渚小学,翡翠山,0.8
19路,上行,梅渚小学,南瑞学校,0.6
19路,上行,梅渚小学,客运西站（五四桥）,1.0
19路,上行,梅渚小学,茶市北门（七星医院）,0.7
19路,上行,梅渚小学,东旺实业,0.6
19路,上行,梅渚小学,凤凰村口,0.7
19路,上行,梅渚小学,梅渚小学,0.7
19路,上行,梅渚村口,沃西中学,0.5
19路,上行,梅渚村口,翡翠山,0.8
19路,上行,梅渚村口,南瑞学校,0.5
19路,上行,梅渚村口,客运西站（五四桥）,0.9
19路,上行,梅渚村口,茶市北门（七星医院）,0.7
19路,上行,梅渚村口,东旺实业,0.5
19路,上行,梅渚村口,凤凰村口,0.7
19路,上行,梅渚村口,梅渚小学,0.7
19路,上行,西街,翡翠山,0.6
19路,上行,西街,客运西站（五四桥）,0.7
19路,上行,西街,茶市北门（七星医院）,0.5
19路,上行,西街,凤凰村口,0.5
19路,上行,西街,梅渚小学,0.5
19路,上行,沃西中学,翡翠山,0.8
19路,上行,沃西中学,南瑞学校,0.6
19路,上行,沃西中学,客运西站（五四桥）,1.0
19路,上行,沃西中学,茶市北门（七星医院）,0.7
19路,上行,沃西中学,东旺实业,0.6
19路,上行,沃西中学,凤凰村口,0.7
19路,上行,沃西中学,梅渚小学,0.7
19路,上行,曙光路口,翡翠山,0.5
19路,上行,曙光路口,客运西站（五四桥）,0.6
19路,上行,竹里人家（里）,翡翠山,0.5
19路,上行,竹里人家（里）,客运西站（五四桥）,0.6
19路,上行,雅庄村,客运西站（五四桥）,0.5
19路,上行,山支头,翡翠山,0.7
19路,上行,山支头,南瑞学校,0.5
19路,上行,山支头,客运西站（五四桥）,0.9
19路,上行,山支头,茶市北门（七星医院）,0.7
19路,上行,山支头,东旺实业,0.5
19路,上行,山支头,凤凰村口,0.7
19路,上行,山支头,梅渚小学,0.7
19路,上行,后山根路口,客运西站（五四桥）,0.6
19路,上行,翡翠山,南瑞学校,1.2
19路,上行,翡翠山,人才公寓（南）,0.9
19路,上行,翡翠山,张家庄（南）,0.7
19路,上行,翡翠山,客运西站（五四桥）,2.0
19路,上行,翡翠山,茶市北门（七星医院）,1.5
19路,上行,翡翠山,侯村,0.7
19路,上行,翡翠山,红星美凯龙,0.9
19路,上行,翡翠山,东旺实业,1.2
19路,上行,翡翠山,凤凰村口,1.5
19路,上行,翡翠山,后山根路口,0.5
19路,上行,翡翠山,竹里人家（里）,0.6
19路,上行,翡翠山,山支头,0.9
19路,上行,翡翠山,梅渚小学,1.5
19路,上行,南瑞学校,人才公寓（南）,0.6
19路,上行,南瑞学校,张家庄（南）,0.6
19路,上行,南瑞学校,客运西站（五四桥）,1.5
19路,上行,南瑞学校,茶市北门（七星医院）,1.1
19路,上行,南瑞学校,侯村,0.6
19路,上行,南瑞学校,红星美凯龙,0.6
19路,上行,南瑞学校,东旺实业,0.9
19路,上行,南瑞学校,凤凰村口,1.1
19路,上行,南瑞学校,山支头,0.6
19路,上行,南瑞学校,梅渚小学,1.1
19路,上行,人才公寓（南）,客运西站（五四桥）,1.2
19路,上行,人才公寓（南）,茶市北门（七星医院）,0.9
19路,上行,人才公寓（南）,红星美凯龙,0.5
19路,上行,人才公寓（南）,东旺实业,0.7
19路,上行,人才公寓（南）,凤凰村口,0.9
19路,上行,人才公寓（南）,山支头,0.5
19路,上行,人才公寓（南）,梅渚小学,0.9
19路,上行,张家庄（南）,客运西站（五四桥）,1.1
19路,上行,张家庄（南）,茶市北门（七星医院）,0.8
19路,上行,张家庄（南）,东旺实业,0.6
19路,上行,张家庄（南）,凤凰村口,0.8
19路,上行,张家庄（南）,梅渚小学,0.8
19路,上行,交通运输局,客运西站（五四桥）,0.7
19路,上行,客运西站（五四桥）,茶市北门（七星医院）,2.7
19路,上行,客运西站（五四桥）,侯村,1.4
19路,上行,客运西站（五四桥）,红星美凯龙,1.6
19路,上行,客运西站（五四桥）,庙前地村,0.6
19路,上行,客运西站（五四桥）,东旺实业,2.2
19路,上行,客运西站（五四桥）,凤凰村口,2.7
19路,上行,客运西站（五四桥）,后山根路口,1.0
19路,上行,客运西站（五四桥）,德力装备（日发纺机）,0.8
19路,上行,客运西站（五四桥）,竹里人家（里）,1.2
19路,上行,客运西站（五四桥）,山支头,1.6
19路,上行,客运西站（五四桥）,梅渚小学,2.7
19路,上行,茶市北门（七星医院）,侯村,1.2
19路,上行,茶市北门（七星医院）,红星美凯龙,1.3
19路,上行,茶市北门（七星医院）,庙前地村,0.5
19路,上行,茶市北门（七星医院）,东旺实业,1.9
19路,上行,茶市北门（七星医院）,凤凰村口,2.4
19路,上行,茶市北门（七星医院）,后山根路口,0.8
19路,上行,茶市北门（七星医院）,德力装备（日发纺机）,0.7
19路,上行,茶市北门（七星医院）,竹里人家（里）,1.0
19路,上行,茶市北门（七星医院）,山支头,1.3
19路,上行,茶市北门（七星医院）,梅渚小学,2.4
19路,上行,侯村,红星美凯龙,0.7
19路,上行,侯村,东旺实业,1.0
19路,上行,侯村,凤凰村口,1.3
19路,上行,侯村,竹里人家（里）,0.6
19路,上行,侯村,山支头,0.7
19路,上行,侯村,梅渚小学,1.3
19路,上行,红星美凯龙,东旺实业,1.3
19路,上行,红星美凯龙,凤凰村口,1.6
19路,上行,红星美凯龙,后山根路口,0.6
19路,上行,红星美凯龙,竹里人家（里）,0.7
19路,上行,红星美凯龙,山支头,0.9
19路,上行,红星美凯龙,梅渚小学,1.6
19路,上行,庙前地村,东旺实业,0.5
19路,上行,庙前地村,凤凰村口,0.6
19路,上行,庙前地村,梅渚小学,0.6
19路,上行,东旺实业,凤凰村口,2.9
19路,上行,东旺实业,后山根路口,1.0
19路,上行,东旺实业,德力装备（日发纺机）,0.8
19路,上行,东旺实业,竹里人家（里）,1.2
19路,上行,东旺实业,山支头,1.6
19路,上行,东旺实业,梅渚小学,2.9
19路,上行,凤凰村口,后山根路口,1.8
19路,上行,凤凰村口,山头新村,0.7
19路,上行,凤凰村口,德力装备（日发纺机）,1.4
19路,上行,凤凰村口,竹里人家（里）,2.1
19路,上行,凤凰村口,山支头,2.8
19路,上行,凤凰村口,梅渚小学,4.9
19路,上行,后山根路口,德力装备（日发纺机）,0.6
19路,上行,后山根路口,竹里人家（里）,0.9
19路,上行,后山根路口,山支头,1.1
19路,上行,后山根路口,梅渚小学,2.0
19路,上行,山头新村,梅渚小学,0.8
19路,上行,德力装备（日发纺机）,竹里人家（里）,0.8
19路,上行,德力装备（日发纺机）,山支头,1.1
19路,上行,德力装备（日发纺机）,梅渚小学,1.9
19路,上行,竹里人家（里）,山支头,2.1
19路,上行,竹里人家（里）,梅渚小学,3.7
19路,上行,山支头,澄潭小学,0.5
19路,上行,山支头,梅渚小学,7.5
19路,下行,平水新村,新西站,0.6
19路,下行,平水新村,新西站,0.6
19路,下行,澄潭消防救援站,梅渚小学,0.8
19路,下行,澄潭消防救援站,新西站,1.0
19路,下行,澄潭消防救援站,新西站,1.0
19路,下行,澄潭消防救援站,梅渚小学,0.8
19路,下行,梅渚小学,棠村,1.3
19路,下行,梅渚小学,新西站,8.8
19路,下行,梅渚小学,丰瓦村口,0.7
19路,下行,梅渚小学,朱家塘路口,0.7
19路,下行,梅渚小学,曙光路口,0.7
19路,下行,梅渚小学,丰瓦村口,0.7
19路,下行,梅渚小学,曙光路口,0.7
19路,下行,梅渚小学,梅渚村口,0.6
19路,下行,梅渚小学,德力装备（日发纺机）,0.7
19路,下行,梅渚小学,后山根路口,0.7
19路,下行,梅渚小学,梅渚村口,0.6
19路,下行,梅渚小学,黄泥田口,1.3
19路,下行,梅渚小学,楼基村委,1.0
19路,下行,梅渚小学,新西站,8.8
19路,下行,梅渚小学,平水新村,0.6
19路,下行,梅渚小学,澄潭消防救援站,0.9
19路,下行,梅渚小学,德力装备（日发纺机）,0.7
19路,下行,梅渚小学,后山根路口,0.7
19路,下行,梅渚小学,梅渚小学,6.8
19路,下行,棠村,新西站,1.7
19路,下行,棠村,新西站,1.7
19路,下行,棠村,梅渚小学,1.3
19路,下行,新西站,丰瓦村口,1.2
19路,下行,新西站,朱家塘路口,1.2
19路,下行,新西站,曙光路口,1.2
19路,下行,新西站,丰瓦村口,1.2
19路,下行,新西站,曙光路口,1.2
19路,下行,新西站,梅渚村口,1.0
19路,下行,新西站,德力装备（日发纺机）,1.2
19路,下行,新西站,后山根路口,1.2
19路,下行,新西站,梅渚村口,1.0
19路,下行,新西站,黄泥田口,2.2
19路,下行,新西站,楼基村委,1.7
19路,下行,新西站,新西站,14.6
19路,下行,新西站,平水新村,1.0
19路,下行,新西站,澄潭消防救援站,1.4
19路,下行,新西站,德力装备（日发纺机）,1.2
19路,下行,新西站,后山根路口,1.2
19路,下行,新西站,梅渚小学,11.2
19路,下行,丰瓦村口,新西站,1.2
19路,下行,丰瓦村口,梅渚小学,1.0
19路,下行,朱家塘路口,新西站,1.3
19路,下行,朱家塘路口,梅渚小学,1.0
19路,下行,曙光路口,新西站,1.3
19路,下行,曙光路口,梅渚小学,1.0
19路,下行,澄潭中学,新西站,0.5
19路,下行,丰瓦村口,新西站,1.4
19路,下行,丰瓦村口,梅渚小学,1.0
19路,下行,曙光路口,新西站,1.4
19路,下行,曙光路口,梅渚小学,1.1
19路,下行,梅渚村口,新西站,1.2
19路,下行,梅渚村口,梅渚小学,0.9
19路,下行,梅渚路口,新西站,0.6
19路,下行,德力装备（日发纺机）,新西站,1.6
19路,下行,德力装备（日发纺机）,梅渚小学,1.2
19路,下行,后山根路口,新西站,1.6
19路,下行,后山根路口,梅渚小学,1.2
19路,下行,梅渚村口,新西站,1.3
19路,下行,梅渚村口,梅渚小学,1.0
19路,下行,梅渚路口,新西站,0.7
19路,下行,梅渚路口,梅渚小学,0.5
19路,下行,张家庄（南）,新西站,0.7
19路,下行,张家庄（南）,梅渚小学,0.6
19路,下行,张家庄（南）,新西站,0.8
19路,下行,张家庄（南）,梅渚小学,0.6
19路,下行,黄泥田口,新西站,3.9
19路,下行,黄泥田口,梅渚小学,3.0
19路,下行,楼基村委,新西站,3.2
19路,下行,楼基村委,梅渚小学,2.5
19路,下行,新西站,平水新村,3.5
19路,下行,新西站,澄潭消防救援站,5.2
19路,下行,新西站,山头新村,0.9
19路,下行,新西站,德力装备（日发纺机）,4.4
19路,下行,新西站,后山根路口,4.4
19路,下行,新西站,澄潭小学,0.9
19路,下行,新西站,梅渚小学,41.0
19路,下行,新西站,山支头,0.9
19路,下行,平水新村,梅渚小学,2.8
19路,下行,澄潭消防救援站,德力装备（日发纺机）,0.5
19路,下行,澄潭消防救援站,后山根路口,0.5
19路,下行,澄潭消防救援站,梅渚小学,4.7
19路,下行,德力装备（日发纺机）,梅渚小学,4.4
19路,下行,后山根路口,梅渚小学,4.8
19路,下行,梅渚小学,山支头,47.0
1路,上行,鼓山公园,实验小学,0.8
1路,上行,鼓山公园,茶市北门（七星医院）,1.4
1路,上行,鼓山公园,百合园,0.9
1路,上行,鼓山公园,社会公共服务大楼,1.1
1路,上行,鼓山公园,客运东站,1.5
1路,上行,鼓山公园,中医院（南）,2.2
1路,上行,鼓山公园,下三溪村（西）,1.2
1路,上行,鼓山公园,钟楼菜场（南）,1.2
1路,上行,鼓山公园,人民医院（磕下东）,1.4
1路,上行,鼓山公园,工商银行,1.3
1路,上行,鼓山公园,迷碟制衣,0.8
1路,上行,鼓山公园,教师之家,1.8
1路,上行,鼓山公园,育英路口,0.9
1路,上行,鼓山公园,达利广场,1.4
1路,上行,鼓山公园,秀水苑,0.6
1路,上行,鼓山公园,横街电信大楼,1.7
1路,上行,鼓山公园,七星中学,1.0
1路,上行,鼓山公园,侯村,1.1
